MmbCode,Cluster,AnniPresenza,GareMedie,EtaUltima,AnniDaChurn
BLZ071 ,1,1,1.0,67.0,8
BLZ073 ,0,5,16.4,66.0,4
BLZ079 ,1,4,12.5,82.0,5
BLZ086 ,1,1,1.0,70.0,7
BMC009 ,0,5,44.8,69.0,4
BMD003 ,4,1,1.0,23.0,6
BML005 ,0,4,5.0,81.0,1
BML019 ,1,4,18.75,95.0,5
BMN001 ,1,1,1.0,54.0,1
BMN010 ,1,4,17.25,85.0,5
BMN028 ,4,1,1.0,21.0,7
BMP001 ,0,6,47.333333333333336,49.0,3
BMR001 ,3,4,134.25,83.0,5
BMR010 ,1,3,4.0,68.0,6
BMR016 ,4,1,1.0,17.0,7
BMR017 ,4,1,1.0,17.0,6
BMS001 ,1,4,42.75,80.0,5
BNB031 ,4,1,3.0,24.0,6
BNC005 ,1,1,2.0,55.0,1
BNC013 ,1,4,12.25,93.0,5
BNC024 ,1,1,1.0,86.0,8
BNC025 ,0,5,26.8,84.0,3
BNC054 ,1,3,13.333333333333334,84.0,6
BNC059 ,1,1,1.0,91.0,7
BNC064 ,1,3,5.333333333333333,61.0,3
BNC101 ,0,5,21.2,88.0,1
BNC121 ,1,2,7.0,86.0,2
BNC143 ,1,1,2.0,92.0,5
BNC178 ,1,3,15.0,67.0,6
BNC192 ,1,1,3.0,77.0,2
BNC197 ,1,1,16.0,82.0,6
BNC198 ,0,5,11.4,56.0,1
BNC215 ,0,8,28.5,75.0,1
BNC225 ,1,3,5.666666666666667,76.0,6
BNC232 ,1,1,1.0,68.0,8
BNC233 ,4,1,9.0,30.0,7
BNC237 ,4,1,1.0,24.0,7
BNC239 ,4,1,1.0,26.0,7
BNC240 ,4,2,4.5,31.0,6
BNC243 ,1,2,8.0,79.0,5
BNC244 ,1,2,9.5,67.0,5
BNC251 ,0,5,26.6,31.0,1
BNC258 ,1,1,8.0,74.0,3
BNC263 ,1,1,1.0,77.0,1
BND004 ,4,2,17.5,34.0,7
BND007 ,1,1,27.0,89.0,8
BND012 ,1,3,12.333333333333334,92.0,6
BND014 ,1,3,10.666666666666666,80.0,6
BND020 ,0,5,4.8,87.0,1
BND030 ,3,5,41.0,72.0,4
BND033 ,1,1,17.0,74.0,8
BND034 ,1,1,2.0,79.0,7
BND046 ,4,1,1.0,34.0,6
BND052 ,3,3,102.66666666666667,90.0,6
BND066 ,0,4,75.75,87.0,5
BND080 ,1,1,33.0,77.0,6
BND098 ,0,8,9.625,72.0,1
BND114 ,1,4,9.0,88.0,5
BND121 ,1,1,9.0,72.0,8
BND126 ,1,3,9.666666666666666,80.0,2
BND152 ,0,6,34.333333333333336,74.0,1
BND163 ,4,1,1.0,25.0,8
