MmbCode,AnnoInizio,AnnoFine,AnniPresenza,EtaUltima,Sesso,GareMedie,GareTotali,GareStd,PuntiCampMedi,PuntiCampTot,PuntiTotMedi,PuntiTotTot,CatInizio,CatFine,CatMax,CatLabelInizio,CatLabelFine,EraScuolaBridge,EraAgonista,Regione,Circolo,TipoTessera,Churned,AnniDaChurn,Progressione,RatioChamp,Macroregione,EtaAttuale,Cluster
BCR070 ,2019,2019,1,77.0,M,25.0,25.0,0.0,2090.0,2090.0,11138.0,11138.0,6.0,6.0,6.0,3Q,3Q,False,False,FRI,LA COMPAGNIA DEL BRIDGE,Aderente,True,6,0.0,0.1876290510817847,Nord-Est,83.0,1
BCR072 ,2017,2020,4,83.0,F,21.5,86.0,7.234178138070235,22.5,90.0,1383.75,5535.0,3.0,0.0,6.0,4C,NC,False,False,VEN,A.BR.NINO MARCON VE,Ordinario Amatoriale,True,5,-3.0,0.01625722543352601,Nord-Est,88.0,1
BCR087 ,2017,2019,2,60.0,M,5.0,10.0,1.4142135623730951,90.0,180.0,1226.0,2452.0,5.0,5.0,5.0,3F,3F,False,False,LAZ,ARCADIA BENBRIDGE SSD A R.L.,Ordinario Sportivo,True,6,0.0,0.07337953526294333,Centro,66.0,1
BCR101 ,2017,2020,4,87.0,F,14.75,59.0,13.022416570411705,43.25,173.0,134.25,537.0,0.0,0.0,0.0,NC,NC,True,False,LOM,BR.ASS.COMOCANTUHELIOS,Ordinario Amatoriale,True,5,0.0,0.3215613382899628,Nord-Ovest,92.0,1
BCR112 ,2020,2021,2,77.0,M,23.5,47.0,26.16295090390226,0.0,0.0,469.5,939.0,0.0,0.0,0.0,NC,NC,True,False,LIG,LIGURIABRIDGE,Scuola Bridge,True,4,0.0,0.0,Nord-Ovest,81.0,1
BCR117 ,2022,2022,1,54.0,F,1.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,NC,NC,True,False,TOS,BRIDGE PISTOIA,Scuola Bridge,True,3,0.0,0.0,Centro,57.0,1
BCS010 ,2018,2018,1,80.0,F,2.0,2.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,NC,NC,True,False,VEN,CIRCOLO EREMITANI,Scuola Bridge,True,7,0.0,0.0,Nord-Est,87.0,1
BCS011 ,2017,2019,3,71.0,F,2.0,6.0,1.0,2050.0,6150.0,4734.0,14202.0,7.0,5.0,7.0,3C,3F,False,True,UMB,BRIDGE FOLIGNO,Agonista,True,6,-2.0,0.4330071111736957,Centro,77.0,1
BCT001 ,2017,2017,1,85.0,M,3.0,3.0,0.0,0.0,0.0,2120.0,2120.0,5.0,5.0,5.0,3F,3F,False,False,EMI,BRIDGE FORLI',Ordinario Sportivo,True,8,0.0,0.0,Nord-Est,93.0,1
BCT002 ,2017,2017,1,84.0,F,5.0,5.0,0.0,0.0,0.0,425.0,425.0,2.0,2.0,2.0,4Q,4Q,False,False,VEN,CUP TREVISO BRIDGE,Ordinario Sportivo,True,8,0.0,0.0,Nord-Est,92.0,1
BCT009 ,2017,2020,4,94.0,M,7.0,28.0,4.898979485566356,15.0,60.0,3771.25,15085.0,5.0,0.0,5.0,3F,NC,False,False,TOS,VIAREGGIO VERSILIA BR. A.S.D.,Ordinario Amatoriale,True,5,-5.0,0.003977197401564364,Centro,99.0,1
BCT021 ,2023,2023,1,66.0,M,51.0,51.0,0.0,131.0,131.0,664.0,664.0,0.0,0.0,0.0,NC,NC,True,False,EMI,BRIDGE FARNESE PIACENZA,Scuola Bridge,True,2,0.0,0.19699248120300752,Nord-Est,68.0,1
BCT024 ,2018,2019,2,92.0,F,26.0,52.0,7.0710678118654755,0.0,0.0,401.5,803.0,1.0,0.0,1.0,4F,NC,False,False,LAZ,INCONTRI DI BRIDGE,Aderente,True,6,-1.0,0.0,Centro,98.0,1
BCT040 ,2017,2017,1,88.0,F,1.0,1.0,0.0,0.0,0.0,1694.0,1694.0,2.0,2.0,2.0,4Q,4Q,False,False,LIG,BRIDGE CLUB SANREMO,Ordinario Amatoriale,True,8,0.0,0.0,Nord-Ovest,96.0,1
