MmbCode,Cluster,GareMedie,AnniPresenza,Eta,Sesso,AncoraAttivo
BCZ031 ,Sociale,26.0,3,71.0,F,False
BCZ036 ,Regolare,47.333333333333336,3,33.0,M,True
BDC002 ,Sociale,18.142857142857142,7,70.0,M,False
BDC009 ,Regolare,30.333333333333332,3,95.0,F,False
BDC025 ,Sociale,12.5,4,78.0,M,False
BDC026 ,Occasionale,3.75,4,66.0,F,False
BDD009 ,Regolare,88.66666666666667,3,98.0,M,False
BDD015 ,Occasionale,1.0,1,20.0,F,False
BDG004 ,Regolare Fedele,83.75,4,66.0,M,True
BDL004 ,Occasionale,4.333333333333333,3,79.0,M,False
BDL011 ,Regolare Fedele,42.2,5,85.0,F,False
BDL012 ,Occasionale,3.0,2,79.0,M,False
BDL013 ,Sociale,22.75,4,87.0,F,False
BDL018 ,Nuovo Entusiasta,64.5,2,75.0,M,True
BDL020 ,Agonista Attivo,77.44444444444444,9,72.0,F,True
BDL025 ,Occasionale,8.5,2,77.0,M,False
BDL037 ,Regolare Fedele,54.55555555555556,9,65.0,M,True
BDL038 ,Regolare Fedele,31.444444444444443,9,83.0,M,True
BDL040 ,Sociale,27.75,4,65.0,M,True
BDL041 ,Sociale,22.666666666666668,3,77.0,M,True
BDN006 ,Occasionale,2.0,1,94.0,F,False
BDN007 ,Agonista Attivo,96.5,6,72.0,M,False
BDN011 ,Sociale,29.333333333333332,6,73.0,M,True
BDN012 ,Sociale,14.0,1,48.0,F,True
BDN020 ,Sociale,19.0,9,77.0,F,True
BDN024 ,Occasionale,7.666666666666667,3,88.0,M,False
BDN025 ,Occasionale,6.0,1,69.0,M,False
BDR001 ,Occasionale,3.0,1,87.0,M,False
BDR008 ,Regolare Fedele,56.375,8,60.0,F,True
BDR009 ,Occasionale,1.5,2,69.0,M,False
BDR011 ,Occasionale,3.0,1,75.0,F,False
BDR015 ,Sociale,15.714285714285714,7,70.0,F,True
BDR019 ,Regolare Fedele,50.2,5,91.0,M,False
BDR024 ,Sociale,13.0,2,59.0,M,False
BDR025 ,Agonista Attivo,142.0,9,68.0,F,True
BDR029 ,Occasionale,7.0,2,85.0,F,True
BDR031 ,Regolare Fedele,36.25,4,76.0,M,False
BDR034 ,Agonista Attivo,103.11111111111111,9,60.0,F,True
BDS005 ,Regolare Fedele,74.5,4,74.0,F,False
BDS007 ,Super Agonista,209.0,9,65.0,M,True
BDT005 ,Agonista Attivo,58.333333333333336,9,58.0,F,True
BDT009 ,Regolare Fedele,43.8,5,86.0,M,False
BDT010 ,Sociale,17.75,4,79.0,M,False
BDT013 ,Occasionale,1.0,1,19.0,F,False
BDT015 ,Sociale,13.333333333333334,3,76.0,F,False
BDT016 ,Regolare,32.0,1,61.0,F,True
BDZ005 ,Occasionale,9.0,7,90.0,F,True
BFC009 ,Occasionale,3.0,1,90.0,M,False
BFC014 ,Occasionale,4.0,1,78.0,M,False
BFC015 ,Occasionale,1.0,2,17.0,M,False
BFL001 ,Sociale,21.333333333333332,6,73.0,F,True
BFL003 ,Occasionale,5.333333333333333,3,75.0,M,False
BFL004 ,Regolare Fedele,54.333333333333336,9,74.0,M,True
BFL023 ,Regolare Fedele,62.625,8,86.0,F,False
BFL028 ,Regolare Fedele,38.0,4,75.0,F,False
BFL030 ,Occasionale,1.0,1,18.0,M,False
BFN008 ,Sociale,12.777777777777779,9,82.0,M,True
BFN019 ,Regolare Fedele,45.75,4,91.0,M,False
BFR003 ,Regolare,38.5,2,93.0,M,False
BFR009 ,Regolare Fedele,68.11111111111111,9,65.0,F,True
BFR027 ,Occasionale,5.666666666666667,3,78.0,M,False
BFS002 ,Occasionale,4.0,1,,F,False
BFS009 ,Occasionale,8.25,8,88.0,F,False
BFS011 ,Occasionale,1.0,1,17.0,F,False
BFS012 ,Sociale,25.75,4,85.0,F,False
BFT004 ,Occasionale,4.0,4,72.0,F,False
BFT005 ,Occasionale,1.0,1,67.0,F,False
BFT016 ,Occasionale,1.0,1,79.0,F,False
BFT021 ,Occasionale,1.0,1,20.0,F,False
BFY001 ,Regolare,34.0,2,82.0,F,False
BFZ001 ,Regolare Fedele,55.8,5,89.0,F,False
BGB007 ,Occasionale,1.0,1,17.0,M,False
BGC004 ,Regolare,36.666666666666664,3,73.0,M,True
BGC006 ,Occasionale,4.0,1,72.0,M,False
BGC010 ,Occasionale,1.0,1,67.0,M,True
BGC033 ,Regolare,37.0,3,76.0,F,False
BGC046 ,Occasionale,1.0,1,16.0,F,False
BGD005 ,Occasionale,5.0,1,88.0,F,False
BGD011 ,Regolare Fedele,282.0,9,86.0,F,True
BGD018 ,Sociale,28.857142857142858,7,86.0,M,False
BGD026 ,Sociale,28.25,8,33.0,M,True
BGD027 ,Occasionale,1.0,1,19.0,M,False
BGG001 ,Regolare Fedele,106.28571428571429,7,96.0,M,True
BGG015 ,Sociale,19.11111111111111,9,84.0,M,True
BGG017 ,Regolare Fedele,55.666666666666664,9,75.0,M,True
BGG018 ,Occasionale,5.666666666666667,3,22.0,F,False
BGG019 ,Sociale,14.5,6,68.0,M,False
BGG021 ,Sociale,13.0,1,71.0,M,True
BGL003 ,Sociale,20.625,8,76.0,M,True
BGL005 ,Regolare,109.0,3,90.0,F,False
BGL006 ,Agonista Attivo,50.55555555555556,9,79.0,M,True
BGL009 ,Regolare Fedele,34.57142857142857,7,74.0,M,True
BGL025 ,Regolare Fedele,40.888888888888886,9,67.0,F,True
BGL027 ,Regolare Fedele,47.0,9,71.0,M,True
BGL033 ,Occasionale,5.0,1,97.0,F,False
BGL036 ,Regolare Fedele,44.333333333333336,9,72.0,F,True
BGL037 ,Sociale,13.25,4,54.0,F,True
BGL040 ,Sociale,17.0,5,91.0,M,False
BGL056 ,Regolare Fedele,41.0,4,78.0,M,False
BGL058 ,Occasionale,5.0,3,86.0,F,False
BGL067 ,Agonista Attivo,56.111111111111114,9,65.0,F,True
BGL075 ,Regolare Fedele,32.285714285714285,7,81.0,F,True
BGL078 ,Occasionale,1.0,1,82.0,F,False
BGL083 ,Sociale,10.8,5,85.0,F,False
BGL089 ,Occasionale,1.5,2,20.0,F,False
BGL091 ,Occasionale,1.0,1,15.0,M,False
BGL093 ,Occasionale,1.0,1,23.0,M,False
BGL094 ,Occasionale,1.0,1,77.0,M,False
BGN010 ,Occasionale,2.0,3,85.0,F,False
BGN013 ,Sociale,14.0,2,92.0,M,False
BGN021 ,Occasionale,4.333333333333333,3,84.0,F,False
BGN024 ,Super Agonista,91.33333333333333,9,85.0,F,True
BGN029 ,Occasionale,1.0,1,73.0,F,False
BGN030 ,Sociale,24.75,4,90.0,F,False
BGN039 ,Occasionale,3.0,3,98.0,M,False
BGN043 ,Nuovo Entusiasta,93.0,1,29.0,F,False
BGN044 ,Regolare Fedele,43.5,4,76.0,M,True
BGN057 ,Sociale,12.0,7,88.0,M,True
BGN072 ,Agonista Attivo,104.33333333333333,9,84.0,F,True
BGN073 ,Occasionale,1.0,1,91.0,F,False
BGN083 ,Regolare Fedele,41.333333333333336,9,86.0,F,True
BGN088 ,Sociale,21.5,6,80.0,M,False
BGN096 ,Occasionale,8.5,2,72.0,F,False
BGN105 ,Sociale,29.6,5,75.0,M,True
BGN106 ,Sociale,20.0,2,75.0,F,False
BGN107 ,Regolare Fedele,32.25,4,56.0,F,True
BGN108 ,Regolare Fedele,34.25,4,67.0,M,True
BGN112 ,Sociale,14.0,1,74.0,M,True
BGP003 ,Sociale,27.6,5,65.0,M,False
BGP005 ,Super Agonista,177.22222222222223,9,76.0,M,True
BGP006 ,Occasionale,4.0,1,80.0,M,True
BGQ001 ,Regolare Fedele,39.2,5,65.0,F,False
BGR008 ,Regolare Fedele,53.75,8,79.0,F,False
BGR010 ,Sociale,13.0,2,69.0,F,False
BGR013 ,Sociale,10.0,4,67.0,M,False
BGR020 ,Sociale,24.0,4,84.0,F,True
BGR026 ,Regolare Fedele,80.8,5,87.0,M,False
BGR032 ,Regolare Fedele,68.75,8,87.0,M,False
BGR040 ,Occasionale,3.3333333333333335,3,72.0,F,False
BGR042 ,Super Agonista,158.33333333333334,9,65.0,M,True
BGR047 ,Occasionale,2.0,1,80.0,M,False
BGR055 ,Regolare Fedele,51.666666666666664,9,68.0,M,True
BGR058 ,Regolare Fedele,34.75,8,64.0,M,True
BGR061 ,Occasionale,4.5,2,73.0,F,False
BGR065 ,Sociale,19.11111111111111,9,79.0,F,True
BGR066 ,Sociale,22.5,4,91.0,M,False
BGR070 ,Occasionale,9.25,4,43.0,M,False
BGR073 ,Regolare Fedele,30.88888888888889,9,73.0,M,True
BGR083 ,Occasionale,3.5,2,20.0,F,False
BGR084 ,Sociale,11.0,2,73.0,M,False
BGR087 ,Regolare,31.333333333333332,3,74.0,M,True
BGS016 ,Sociale,10.6,5,78.0,F,False
BGS018 ,Occasionale,1.0,2,38.0,F,False
BGS020 ,Occasionale,4.0,1,55.0,F,True
BGT004 ,Occasionale,1.6666666666666667,3,86.0,F,False
BGT012 ,Regolare Fedele,107.66666666666667,9,81.0,M,True
BGT022 ,Regolare Fedele,40.888888888888886,9,85.0,M,True
BGT023 ,Sociale,13.88888888888889,9,74.0,M,True
BGT032 ,Regolare Fedele,185.28571428571428,7,77.0,M,True
BGT033 ,Super Agonista,123.33333333333333,9,64.0,F,True
BGT042 ,Occasionale,3.3333333333333335,3,73.0,F,False
BGT044 ,Occasionale,1.0,1,20.0,M,False
BGT050 ,Sociale,13.0,1,58.0,M,True
BGT052 ,Occasionale,2.0,1,80.0,F,True
BGY001 ,Regolare Fedele,33.0,6,86.0,F,False
BGZ003 ,Occasionale,2.0,1,60.0,M,False
BGZ005 ,Sociale,27.0,2,91.0,F,False
BGZ016 ,Agonista Attivo,69.55555555555556,9,60.0,M,True
BGZ018 ,Occasionale,5.0,2,97.0,F,False
BGZ029 ,Sociale,25.0,1,69.0,F,True
BHL002 ,Regolare Fedele,32.285714285714285,7,58.0,F,True
BHR003 ,Occasionale,3.0,1,82.0,F,True
BHZ001 ,Regolare Fedele,56.0,6,77.0,F,False
BJG001 ,Sociale,23.0,3,67.0,F,False
BJL001 ,Occasionale,6.142857142857143,7,89.0,M,False
BJL004 ,Regolare,30.666666666666668,3,77.0,F,True
BJT002 ,Occasionale,1.0,1,64.0,F,False
BJT003 ,Occasionale,1.0,1,18.0,F,False
BKR001 ,Occasionale,1.0,1,79.0,M,False
BKV001 ,Occasionale,1.0,1,86.0,F,False
BLB001 ,Sociale,19.375,8,77.0,F,True
BLB003 ,Occasionale,1.0,1,62.0,F,False
BLB014 ,Regolare Fedele,37.666666666666664,9,66.0,M,True
BLB016 ,Sociale,28.75,4,78.0,M,False
BLB019 ,Nuovo Entusiasta,63.0,1,72.0,M,True
BLB021 ,Regolare Fedele,66.0,4,86.0,F,False
BLC003 ,Agonista Attivo,53.333333333333336,9,77.0,M,True
BLC004 ,Super Agonista,101.66666666666667,9,61.0,F,True
BLC007 ,Sociale,20.0,3,76.0,F,False
BLC013 ,Occasionale,5.0,1,84.0,M,False
BLC018 ,Sociale,27.333333333333332,6,85.0,M,False
BLC022 ,Agonista Attivo,56.75,4,65.0,M,False
BLC024 ,Nuovo Entusiasta,49.0,1,79.0,M,True
BLC026 ,Regolare Fedele,108.66666666666667,9,65.0,M,True
BLC028 ,Occasionale,1.0,2,86.0,M,False
BLC034 ,Regolare Fedele,53.333333333333336,9,36.0,M,True
BLC040 ,Sociale,15.25,4,75.0,M,False
BLC041 ,Occasionale,3.0,1,73.0,M,False
BLC042 ,Sociale,11.0,2,45.0,M,False
BLC054 ,Occasionale,5.333333333333333,3,88.0,F,False
BLC055 ,Regolare Fedele,87.44444444444444,9,74.0,M,True
BLC076 ,Regolare Fedele,104.77777777777777,9,78.0,M,True
BLC079 ,Occasionale,4.0,2,63.0,M,False
BLC098 ,Sociale,18.0,2,96.0,M,False
BLC103 ,Regolare Fedele,124.55555555555556,9,94.0,F,True
BLC113 ,Sociale,17.25,8,77.0,M,True
BLC139 ,Regolare Fedele,30.25,4,85.0,M,False
BLC150 ,Super Agonista,170.33333333333334,9,75.0,M,True
BLC156 ,Sociale,19.333333333333332,6,77.0,F,False
BLC168 ,Sociale,10.375,8,43.0,M,True
BLC177 ,Regolare Fedele,53.625,8,89.0,M,False
BLC178 ,Sociale,13.125,8,71.0,M,False
BLC180 ,Regolare Fedele,36.6,5,72.0,M,False
BLC187 ,Regolare Fedele,45.25,4,79.0,F,False
BLC188 ,Sociale,11.0,3,65.0,M,False
BLC189 ,Occasionale,2.0,1,22.0,M,False
BLC192 ,Sociale,15.0,1,80.0,M,False
BLC195 ,Occasionale,2.5,2,18.0,F,False
BLC198 ,Occasionale,2.0,1,18.0,M,False
BLC199 ,Occasionale,1.0,1,24.0,F,False
BLC203 ,Occasionale,1.0,1,25.0,M,False
BLC208 ,Occasionale,3.0,1,64.0,F,False
BLC209 ,Occasionale,3.0,2,70.0,M,True
BLC210 ,Sociale,15.0,3,33.0,M,False
BLC212 ,Occasionale,1.0,1,17.0,M,False
BLC214 ,Sociale,11.0,1,11.0,M,False
BLC217 ,Regolare,33.0,2,61.0,M,True
BLD003 ,Regolare Fedele,33.0,4,98.0,F,False
BLD008 ,Sociale,17.22222222222222,9,71.0,M,True
BLD019 ,Sociale,19.0,3,74.0,M,False
BLD020 ,Sociale,10.5,2,79.0,F,False
BLD021 ,Occasionale,1.0,1,74.0,M,False
BLD022 ,Sociale,19.2,5,70.0,M,False
BLD023 ,Regolare Fedele,32.42857142857143,7,61.0,F,True
BLD026 ,Sociale,18.428571428571427,7,77.0,M,True
BLD027 ,Sociale,27.833333333333332,6,71.0,M,True
BLD029 ,Occasionale,6.0,1,74.0,M,False
BLD031 ,Occasionale,1.0,2,71.0,M,False
BLD032 ,Regolare Fedele,39.4,5,82.0,M,False
BLD033 ,Regolare,50.0,3,58.0,M,True
BLD034 ,Sociale,14.0,1,66.0,M,True
BLD036 ,Sociale,10.333333333333334,3,56.0,M,False
BLD039 ,Regolare Fedele,32.375,8,79.0,M,False
BLD042 ,Occasionale,1.0,1,91.0,F,False
BLD050 ,Agonista Attivo,61.44444444444444,9,72.0,F,True
BLD068 ,Super Agonista,126.22222222222223,9,75.0,F,True
BLD070 ,Sociale,27.77777777777778,9,78.0,F,True
BLD076 ,Agonista Attivo,71.33333333333333,9,69.0,F,True
BLD080 ,Agonista Attivo,97.77777777777777,9,81.0,F,True
BLD081 ,Occasionale,8.0,4,76.0,M,False
