MmbCode,Eta,GareMedie,AnniPresenza,EngagementScore,RischioChurn,Regione
GSL043 ,78.0,121.11111111111111,9,45.68305902401559,ALTO,LOM
DNR141 ,84.0,116.88888888888889,9,45.68812702707474,ALTO,MAR
MBC016 ,50.0,22.555555555555557,9,45.68857479423964,ALTO,EMI
NDC011 ,69.0,47.55555555555556,9,45.68873071468819,ALTO,LOM
BNL005 ,66.0,93.88888888888889,9,45.688797398538256,ALTO,EMI
RVN038 ,93.0,62.55555555555556,9,45.689284503758614,ALTO,LOM
DLN413 ,80.0,76.88888888888889,9,45.69068775666962,ALTO,VEN
GRR149 ,79.0,83.77777777777777,9,45.69249830313502,ALTO,LIG
MNH001 ,75.0,64.11111111111111,9,45.6927835947409,ALTO,PIE
RSF002 ,78.0,43.111111111111114,9,45.696312867627086,ALTO,EMI
RCD013 ,69.0,47.55555555555556,9,45.700154505049554,ALTO,LOM
MNR435 ,29.0,37.333333333333336,9,45.70048059129496,ALTO,VEN
FLN008 ,78.0,5.888888888888889,9,45.70108374595992,ALTO,LAZ
LRL131 ,66.0,3.0,1,45.70727377009963,ALTO,SIC
BGT032 ,77.0,185.28571428571428,7,45.707455949739206,ALTO,PIE
RBZ003 ,75.0,121.88888888888889,9,45.70912295672435,ALTO,EMI
DLZ050 ,81.0,73.25,8,45.71331515453077,ALTO,TRT
PTN012 ,79.0,35.77777777777778,9,45.71368180260238,ALTO,PUG
BLL220 ,92.0,100.88888888888889,9,45.716262382474575,ALTO,PIE
SCT025 ,80.0,62.77777777777778,9,45.72479253763209,ALTO,MAR
VLN147 ,77.0,46.22222222222222,9,45.73476434709149,ALTO,UMB
SCR270 ,82.0,49.77777777777778,9,45.736797944019585,ALTO,LAZ
GTZ005 ,68.0,30.444444444444443,9,45.74269049066369,ALTO,LOM
CSD115 ,65.0,27.0,9,45.744646332765754,ALTO,ABR
PRN606 ,78.0,54.44444444444444,9,45.74776694300266,ALTO,SAR
NTS019 ,79.0,95.33333333333333,9,45.750015637130716,ALTO,LAZ
CLL090 ,83.0,78.125,8,45.75079079584008,ALTO,LOM
PGL033 ,85.0,63.666666666666664,9,45.75627636235826,ALTO,LOM
ZCS014 ,28.0,79.42857142857143,7,45.75776797899476,ALTO,CAM
GGD033 ,74.0,45.77777777777778,9,45.76332791234278,ALTO,CAB
BTT052 ,66.0,53.333333333333336,9,45.7639017149825,ALTO,LIG
SVL009 ,87.0,9.375,8,45.765487733306735,ALTO,CAB
BRL189 ,75.0,54.22222222222222,9,45.76709929434971,ALTO,EMI
NRT030 ,63.0,42.22222222222222,9,45.76726192314098,ALTO,EMI
PDG003 ,51.0,135.33333333333334,9,45.773301195090326,ALTO,LAZ
CCN129 ,81.0,39.77777777777778,9,45.777159874410714,ALTO,TOS
CLL039 ,66.0,54.55555555555556,9,45.77883433491778,ALTO,TOS
MNN666 ,67.0,95.5,8,45.782402221570266,ALTO,VEN
NNR004 ,56.0,61.55555555555556,9,45.78301862139573,ALTO,PIE
GNL189 ,35.0,125.88888888888889,9,45.78490906592805,ALTO,LAZ
VNT077 ,78.0,70.33333333333333,9,45.78719244623315,ALTO,MAR
FRT045 ,72.0,105.44444444444444,9,45.788092618097025,ALTO,MAR
GNL047 ,38.0,15.875,8,45.78833933083697,ALTO,TOS
NTC002 ,67.0,41.77777777777778,9,45.79075064259291,ALTO,EMI
LRT058 ,78.0,79.55555555555556,9,45.79225095371791,ALTO,SIC
CLG013 ,70.0,72.22222222222223,9,45.79795548106925,ALTO,ABR
CSC160 ,66.0,74.77777777777777,9,45.79844529681842,ALTO,LOM
SRD056 ,31.0,24.444444444444443,9,45.80094069005681,ALTO,LOM
MCY003 ,84.0,21.0,9,45.801247438794256,ALTO,LOM
CRD089 ,83.0,81.66666666666667,9,45.80236399947286,ALTO,EMI
GRR053 ,71.0,28.555555555555557,9,45.81130941453995,ALTO,VEN
PLB015 ,80.0,80.22222222222223,9,45.81177254650995,ALTO,EMI
DNN090 ,71.0,106.0,9,45.815160764335694,ALTO,SAR
CLZ034 ,60.0,32.666666666666664,9,45.81666477878029,ALTO,LAZ
ZLF001 ,79.0,62.333333333333336,9,45.82018127204657,ALTO,TOS
SRD007 ,71.0,29.11111111111111,9,45.82047793727686,ALTO,TRT
LBR071 ,65.0,36.42857142857143,7,45.82073550617001,ALTO,VEN
PRN600 ,74.0,68.5,8,45.821734932150285,ALTO,LIG
